District,Latitude,Longitude,FC,RC
Aderemet,13.7508,37.32126,0,1
Aderkay,13.44797,38.05917,3,2
Amara Sayint,11.03439,38.76495,0,1
Andabet,11.41226,37.95603,43,0
Bahir Dar,11.5742,37.36135,0,1
Belesa,12.40174,37.69301,10,5
Beyeda,13.20663,38.48539,8,0
Burie,10.7061,37.06686,0,1
Dabat,12.98942,37.76053,14,3
Debark,13.15094,37.89896,31,20
Debre Markos,10.32963,37.73439,0,1
Dembia,12.40988,37.2544,32,9
Dera ,11.78304,37.56144,1,0
Ebenat,12.12298,38.04992,4,1
Estie,11.6145,38.05785,38,21
Farta,11.99105,38.00492,13,13
Fogera,11.94969,37.58447,3,4
Gindewoin,10.92606,38.08958,3,3
Gondar ,12.60301,37.45213,8,4
Jabitena,10.67944,37.25975,2,4
Janamora,13.30689,38.32557,10,7
Kuarit,11.16577,37.25041,2,0
Libokemkem,12.09957,37.76628,16,9
Makesegnit,12.38301,37.55611,79,22
Merawi,11.41297,37.15533,27,10
Metema,12.95446,36.15725,0,1
Negade Bahir,12.5849,36.77387,0,1
Sanja,13.33521,36.74921,8,12
Sekela,10.96667,37.2544,0,1
Sekota,12.62876,39.0372,3,2
Shawira,11.93532,36.87614,15,0
Shebel Berenta,10.49818,38.15948,0,1
Simada,11.3602,38.40083,5,7
Telemit,13.45589,38.38814,133,8
Korhumer,13.47224,36.3221,,